公司,代碼,財報日期,存貨（億元）,營收（億元）,存貨天數,存貨天數季變,存貨年增%,營收年增%,股價,3個月漲跌%,判讀
台光電,2383,2026-03-31,210.15909,330.67261,81.04477920832315,-3.6416153738791195,122.6851520725989,78.14392700310266,5640.0,17.303384616259553,庫存壓力下降
台燿,6274,2026-03-31,98.09212,100.53966,117.31311843822952,23.58153656024247,148.45355001776798,57.77995600852712,1450.0,-14.454277286135698,庫存壓力上升
聯茂,6213,2026-03-31,59.47843,91.43071,66.09677335710634,8.60736150911282,46.97655948642841,20.6199391931416,550.0,105.41489080153342,庫存壓力上升
