Date,Inventory,Revenue,Cost,GrossProfit,InventoryDays,InventoryYoY,RevenueYoY,GrossMargin,板塊,公司
2026-03-31,9039861000.0,11859669000.0,4435610000.0,7424059000.0,183.42178189696568,58.537257354470555,72.75427378471042,62.59920913475747,電源測試／基礎設施,致茂
2025-03-31,8495084000.0,4421261000.0,2836288000.0,1584973000.0,269.5627383396891,,,35.84889016956927,電源測試／基礎設施,華城
2025-06-30,8667825000.0,6073388000.0,3621503000.0,2451885000.0,215.4089752238228,,,40.370959339334156,電源測試／基礎設施,華城
2025-09-30,9023403000.0,5831799000.0,3400353000.0,2431446000.0,238.82998912171763,,,41.69289785193214,電源測試／基礎設施,華城
2025-12-31,8333498000.0,8096609000.0,4679595000.0,3417014000.0,160.27344674058332,,,42.20302598285282,電源測試／基礎設施,華城
2026-03-31,9364571000.0,4756515000.0,2682401000.0,2074114000.0,314.2003712345768,10.235178369042618,7.582768807360618,43.605749167194894,電源測試／基礎設施,華城
2025-03-31,10515010000.0,6447658000.0,4808078000.0,1639580000.0,196.8251970953882,,,25.42907827927598,電源測試／基礎設施,中興電
2025-06-30,10499855000.0,7104420000.0,5351198000.0,1753222000.0,176.59353101866162,,,24.677904740992226,電源測試／基礎設施,中興電
2025-09-30,10330295000.0,6790858000.0,5034244000.0,1756614000.0,184.6804703943631,,,25.86733517325793,電源測試／基礎設施,中興電
2025-12-31,10491443000.0,7106089000.0,5187756000.0,1918333000.0,182.01123375887377,,,26.99562304947208,電源測試／基礎設施,中興電
2026-03-31,10435704000.0,6490639000.0,4804662000.0,1685977000.0,195.4795904477776,-0.7542170668406456,0.6666141411346471,25.97551643220336,電源測試／基礎設施,中興電
